==== This output can be found in Systems/dx980/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Mon Jul  6 23:16:19 GST 2015 ====
hdisk79, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk80, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk81, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk82, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk83, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk84, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk85, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk86, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk87, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk88, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk89, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk90, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk91, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk92, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk93, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk94, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk95, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk96, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk97, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk98, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk99, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk100, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk101, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk102, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk103, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk104, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk105, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk106, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk107, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk108, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk109, Disk size: 524295, Disk partition: 1024, Disk location: 23-T1-01
hdisk110, Disk size: 102405, Disk partition: 128, Disk location: 23-T1-01
hdisk111, Disk size: 102405, Disk partition: 128, Disk location: 23-T1-01
hdisk112, Disk size: 25600, Disk partition: 32, Disk location: 23-T1-01
hdisk113, Disk size: 25600, Disk partition: 32, Disk location: 23-T1-01
hdisk114, Disk size: 102405, Disk partition: 128, Disk location: 23-T1-01
hdisk115, Disk size: 102405, Disk partition: 128, Disk location: 23-T1-01
hdisk116, Disk size: 262147, Disk partition: 512, Disk location: 23-T1-01
hdisk117, Disk size: 262147, Disk partition: 512, Disk location: 23-T1-01
hdisk118, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk119, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk120, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk121, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk122, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk123, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk124, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk125, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk126, Disk size: 1048582, Disk partition: 2048, Disk location: 23-T1-01
hdisk127, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk128, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk129, Disk size: 10240, Disk partition: 16, Disk location: 23-T1-01
hdisk28, Disk size: 155655, Disk partition: 256, Disk location: 23-T1-01
hdisk8, Disk size: 155655, Disk partition: 256, Disk location: 24-T1-01
hdisk0, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk1, Disk size: 5120, Disk partition: 8, Disk location: 24-T1-01
hdisk13, Disk size: 212992, Disk partition: 256, Disk location: 24-T1-01
hdisk18, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk19, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk130, Disk size: 155655, Disk partition: 256, Disk location: 24-T1-01
hdisk131, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk132, Disk size: 5120, Disk partition: 8, Disk location: 24-T1-01
hdisk133, Disk size: 212992, Disk partition: 256, Disk location: 24-T1-01
hdisk134, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk135, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk136, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk137, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk138, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk139, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk140, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk141, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk142, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk143, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk144, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk145, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk146, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk147, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk148, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk149, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk150, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk151, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk152, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk153, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk154, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk155, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk156, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk157, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk158, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk159, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk160, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk161, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk162, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk163, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk164, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk165, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk166, Disk size: 25600, Disk partition: 32, Disk location: 24-T1-01
hdisk167, Disk size: 25600, Disk partition: 32, Disk location: 24-T1-01
hdisk168, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk169, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk170, Disk size: 262147, Disk partition: 512, Disk location: 24-T1-01
hdisk171, Disk size: 262147, Disk partition: 512, Disk location: 24-T1-01
hdisk172, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk173, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk174, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk175, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk176, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk177, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk178, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk179, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk180, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk181, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk182, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk183, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk184, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk185, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk186, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk187, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk188, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk189, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk190, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk191, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk192, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk193, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk194, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk195, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk196, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk197, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk198, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk199, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk200, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk201, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk202, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk203, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk204, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk205, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk206, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk207, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk208, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk209, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk210, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk211, Disk size: 524295, Disk partition: 1024, Disk location: 24-T1-01
hdisk212, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk213, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk214, Disk size: 25600, Disk partition: 32, Disk location: 24-T1-01
hdisk215, Disk size: 25600, Disk partition: 32, Disk location: 24-T1-01
hdisk216, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk217, Disk size: 102405, Disk partition: 128, Disk location: 24-T1-01
hdisk218, Disk size: 262147, Disk partition: 512, Disk location: 24-T1-01
hdisk219, Disk size: 262147, Disk partition: 512, Disk location: 24-T1-01
hdisk220, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk221, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk222, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk223, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk224, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk225, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk226, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk227, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk228, Disk size: 1048582, Disk partition: 2048, Disk location: 24-T1-01
hdisk229, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk230, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk231, Disk size: 10240, Disk partition: 16, Disk location: 24-T1-01
hdisk232, Disk size: 12288, Disk partition: 16, Disk location: 24-T1-01
hdisk233, Disk size: 12288, Disk partition: 16, Disk location: 24-T1-01
hdisk234, Disk size: 12288, Disk partition: 16, Disk location: 24-T1-01
hdisk235, Disk size: 12288, Disk partition: 16, Disk location: 24-T1-01
hdisk11, Disk size: 155655, Disk partition: 256, Disk location: 27-T1-01
hdisk2, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk3, Disk size: 5120, Disk partition: 8, Disk location: 27-T1-01
hdisk14, Disk size: 212992, Disk partition: 256, Disk location: 27-T1-01
hdisk20, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk21, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk236, Disk size: 155655, Disk partition: 256, Disk location: 27-T1-01
hdisk237, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk238, Disk size: 5120, Disk partition: 8, Disk location: 27-T1-01
hdisk239, Disk size: 212992, Disk partition: 256, Disk location: 27-T1-01
hdisk240, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk241, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk242, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk243, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk244, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk245, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk246, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk247, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk248, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk249, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk250, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk251, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk252, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk253, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk254, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk255, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk256, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk257, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk258, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk259, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk260, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk261, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk262, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk263, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk264, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk265, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk266, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk267, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk268, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk269, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk270, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk271, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk272, Disk size: 25600, Disk partition: 32, Disk location: 27-T1-01
hdisk273, Disk size: 25600, Disk partition: 32, Disk location: 27-T1-01
hdisk274, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk275, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk276, Disk size: 262147, Disk partition: 512, Disk location: 27-T1-01
hdisk277, Disk size: 262147, Disk partition: 512, Disk location: 27-T1-01
hdisk278, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk279, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk280, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk281, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk282, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk283, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk284, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk285, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk286, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk287, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk288, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk289, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk290, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk291, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk292, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk293, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk294, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk295, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk296, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk297, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk298, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk299, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk300, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk301, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk302, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk303, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk304, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk305, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk306, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk307, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk308, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk309, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk310, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk311, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk312, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk313, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk314, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk315, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk316, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk317, Disk size: 524295, Disk partition: 1024, Disk location: 27-T1-01
hdisk318, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk319, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk320, Disk size: 25600, Disk partition: 32, Disk location: 27-T1-01
hdisk321, Disk size: 25600, Disk partition: 32, Disk location: 27-T1-01
hdisk322, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk323, Disk size: 102405, Disk partition: 128, Disk location: 27-T1-01
hdisk324, Disk size: 262147, Disk partition: 512, Disk location: 27-T1-01
hdisk325, Disk size: 262147, Disk partition: 512, Disk location: 27-T1-01
hdisk326, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk327, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk328, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk329, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk330, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk331, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk332, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk333, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk334, Disk size: 1048582, Disk partition: 2048, Disk location: 27-T1-01
hdisk335, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk336, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk337, Disk size: 10240, Disk partition: 16, Disk location: 27-T1-01
hdisk338, Disk size: 12288, Disk partition: 16, Disk location: 27-T1-01
hdisk339, Disk size: 12288, Disk partition: 16, Disk location: 27-T1-01
hdisk340, Disk size: 12288, Disk partition: 16, Disk location: 27-T1-01
hdisk341, Disk size: 12288, Disk partition: 16, Disk location: 27-T1-01
hdisk7, Disk size: 155655, Disk partition: 256, Disk location: 28-T1-01
hdisk346, Disk size: 155655, Disk partition: 256, Disk location: 28-T1-01
hdisk9, Disk size: 102405, Disk partition: 128, Disk location: 28-T1-01
hdisk10, Disk size: 5120, Disk partition: 8, Disk location: 28-T1-01
hdisk15, Disk size: 212992, Disk partition: 256, Disk location: 28-T1-01
hdisk22, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
hdisk23, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
hdisk342, Disk size: 12288, Disk partition: 16, Disk location: 28-T1-01
hdisk343, Disk size: 12288, Disk partition: 16, Disk location: 28-T1-01
hdisk344, Disk size: 12288, Disk partition: 16, Disk location: 28-T1-01
hdisk345, Disk size: 12288, Disk partition: 16, Disk location: 28-T1-01
hdisk347, Disk size: 102405, Disk partition: 128, Disk location: 28-T1-01
hdisk348, Disk size: 5120, Disk partition: 8, Disk location: 28-T1-01
hdisk349, Disk size: 212992, Disk partition: 256, Disk location: 28-T1-01
hdisk350, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
hdisk351, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
hdisk352, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
hdisk353, Disk size: 524295, Disk partition: 1024, Disk location: 28-T1-01
